         1         2         3         4         5         
12345678901234567890123456789012345678901234567890123456789
-----------------------------------------------------------
LABEL           |RA        |Dec        |Mag |C|PMRA |PMDEC|
-----------------------------------------------------------
SAO47746          20.1158333-11.23888888 6.15K1-0.047-0.074
91 Psc            20.2808333+28.73805555 5.23K5+0.027-0.078
46Xi And          20.5850000+45.52888888 4.88K0+0.032+0.009
SAO22230          20.8400000+58.14305555 6.45F4+0.139-0.094
SAO09834          20.6541666 +1.72638888 6.20K5+0.066-0.048
43 Cet            20.6450000 -0.44972222 6.49K0+0.023-0.014
SAO47767          20.6270833-19.08138888 6.35F6-0.056-0.071
47 And            20.9191666+37.71500000 5.58A2+0.083-0.022
SAO54654          20.9062500+34.24583333 6.29G8+0.229+0.116
SAO74682          20.8537500+20.46888888 5.97K5-0.009-0.007
SAO4401           21.4437500+70.98000000 6.49A0+0.016-0.013
36Psi Cas         21.4833333+68.13000000 4.74K0+0.074+0.026
SAO93090          20.8791666-30.94555555 5.84K5-0.012-0.046
44 Cet            21.0104166 -8.00750000 6.21F0+0.174-0.070
45The Cet         21.0058333 -8.18333333 3.60K0-0.079-0.218
37Del Cas         21.4541666+60.23527777 2.68A5+0.297-0.051
SAO29277          21.0858333 -6.91472222 5.91F3+0.042+0.003
SAO47793          21.1658333-15.66027777 6.14G5+0.012-0.005
SAO29280          21.2029166 -2.84861111 6.15G8+0.013-0.030
SAO74707          21.3987500+23.51166666 6.18F5+0.032-0.021
SAO15492          21.1700000-41.49250000 5.42K0+0.022-0.038
SAO37204          21.5775000+43.45777777 5.96F7+0.103-0.060
SAO54695          21.5362500+34.57972222 6.31F7+0.230-0.087
SAO15494          21.1745833-44.52833333 6.26K1-0.009-0.018
46 Cet            21.4050000-14.59888888 4.90K2+0.039-0.018
93Rho Psc         21.5637500+19.17222222 5.38F2-0.024+0.010
94 Psc            21.6737500+19.24027777 5.50K1+0.050-0.061
SAO54705          21.7758333+34.37750000 6.27F7+0.154-0.011
SAO29300          21.6137500 -0.39861111 6.41K0+0.044-0.001
